"result","id","comment","label"
"toxic",83,"IGNORE KYU KR RHI YRR :) SBKO CHD KE TMKO HI HLW KR RHA TO🥴",1
"toxic",84,"Koi ladki freee he kyaa???",1
"not toxic",85,"haji",0
"not toxic",86,"ist hp",0
"toxic",87,"ha 😂 nakal kyu kar rahe star",1
"not toxic",88,"surya namaskar 🇮🇳🇮🇳🇮🇳🇮🇳✈️✈️✈️✈️",0
"not toxic",89,"aap busy ho",0
"not toxic",90,"you lookin beautiful",0
"not toxic",91,"mira",0
"toxic",92,"bandita me up se hu ap kha se ho 🥰🥰",1
"not toxic",93,"🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳",0
"toxic",94,"sapna ji aap mujhe acchi lagi dil se ji",1
"not toxic",95,"ja rha hu me",0
"not toxic",96,"bye",0
"toxic",97,":face-fuchsia-poop-shape::face-purple-wide-eyes::eyes-purple-crying::body-blue-raised-arms::glasses-purple-yellow-diamond::face-green-smiling::text-green-game-over::face-purple-crying::face-red-droopy-eyes::face-blue-smiling::face-orange-raised-eyebrow::face-red-heart-shape::face-fuchsia-poop-shape::face-purple-smiling-fangs::hand-purple-blue-peace::eyes-pink-heart-shape::face-blue-wide-eyes::face-blue-wide-eyes::trophy-yellow-smiling::body-blue-raised-arms:",1
"not toxic",98,"🙏🙏🙏🙏🙏",0
"toxic",99,"ha nakal kyu kr rhe ho Anushka",1
"not toxic",100,"nice 👍👌",0
"toxic",101,":hand-pink-waving::face-blue-smiling:",1
"not toxic",102,"byy",0
"not toxic",103,"hii guys",0
"toxic",104,"tum desh ko nahi majhabh mahtav dete ho",1
"toxic",105,"सहनशीलता हमारा आभूषण है।। हम जोड़ने में believe करते है तोड़ने में नहीं",1
"toxic",106,"Achha ab kaise aau🤭🙂",1
"toxic",107,"kuch nahi chlate hai na",1
"toxic",108,"sab tumahre hii piche pade hain ... ARUHI ARUHI.... 😂",1
"toxic",109,"apka bi kuch hona tha kya",1
"toxic",110,"Bareilly me",1
"not toxic",111,"job ka",0
"not toxic",112,"hi",0
"not toxic",113,"good",0
"not toxic",114,"🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳",0
"toxic",115,"ha dekho kuch jugaad lgaooo",1
"toxic",116,"bhai jarurat nhi h iske piche padne ki",1
"not toxic",117,"Ahmedabad 👈👈👈👈👈👈",0
"toxic",118,"ha g yhi sach h only watsapp or telllgram shearcht",1
"not toxic",119,"rmlu se",0
"not toxic",120,"thanks isro",0
"not toxic",121,"jugad ap lago me ku lgau",0
"toxic",122,"mujhe pahle lga tha ek aruhi h khi yeh wahi ho",1
"toxic",123,"Ayansh sb achhe insaan ke hi pichhe pdte h wrna duniya me bahut se log h achhi baate bhi unki hi hoti h aur buri bhi🙂🤣🤣🤣🤣",1
"toxic",124,"telegram chlate hai",1
"not toxic",125,"Jai hind💞💞💞💞💞💕💕💕💕",0
"toxic",126,"Abhishek Bhai batlii mien Naya utra hai ..... ye apna unique tareka laya h .. tumse baat karne ka .",1
"not toxic",127,"😂😂",0
"not toxic",128,"ha kbi kbi",0
"not toxic",129,"o",0
"not toxic",130,"eaaa",0
"not toxic",131,"jay hind",0
"not toxic",132,"ayush hi",0
"not toxic",133,"kya mame se",0
"toxic",134,"anahita ji kha se ho",1
"not toxic",135,"kya name se",0
"toxic",136,"up se",1
"toxic",137,"age kitna hai aapka",1
"toxic",138,"chalo choro aap vse krtikya ho",1
"not toxic",139,"it's battle not battli",0
"toxic",140,"bharat mata ki jay",1
"not toxic",141,"ok",0
"toxic",142,"itts too OSM ... quote 😇👍🏻",1
"not toxic",143,"22 years",0
"not toxic",144,"kya",0
"not toxic",145,"hi",0
"not toxic",146,"kya Karti h ji",0
"not toxic",147,"msti",0
"not toxic",148,"nothing u",0
"toxic",149,"yeh acchi h aayansh sun lo",1
"not toxic",150,"Ayansh ignore kro snko🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",0
"not toxic",151,"hnn Abhishek bhaiya ... 😇🙏🏻",0
"not toxic",152,"😑",0
"not toxic",153,"Ghar pe hi",0
"not toxic",154,"saidpur kalan",0
"toxic",155,"mylb ghat mr msti or yha pr bhi msti",1
"not toxic",156,"MST AARU APP BTW",0
"toxic",157,"priti saini hii",1
"not toxic",158,"k.....................",0
"not toxic",159,"priti ji bolo please 🙏",0
"not toxic",160,"m..",0
"not toxic",161,"kese hi aap",0
"not toxic",162,"hlo abil",0
"not toxic",163,"Hi",0
"toxic",164,"India is biggest in world:face-green-smiling:",1
"not toxic",165,"hii",0
"not toxic",166,"jgj",0
"toxic",167,"hllo maansi",1
"not toxic",168,"District kon se ata h apka jyoti",0
"not toxic",169,"bnhh",0
"not toxic",170,"hi",0
"not toxic",171,"Hi jyoti",0
"not toxic",172,"कोई नहीं अपना",0
"toxic",173,"priti Saini insta I'd kya hai",1
"toxic",174,"sab lage hain koi single nahi hain ky",1
"not toxic",175,"bhhu",0
"not toxic",176,"सोनी कनौजिया जिला बताओ",0
"toxic",177,":hand-pink-waving::hand-pink-waving:",1
"not toxic",178,"bbhh",0
"not toxic",179,"good morning",0
"not toxic",180,"hlo yuvi jii",0
"not toxic",181,"gjb",0
"toxic",182,"koi larki mujhe like nhi krti me poor family se hu",1
"not toxic",183,"kaise ho ap",0
"not toxic",184,"hi",0
"toxic",185,"AARU BOLO YRR",1
"toxic",186,"ज्योति मैं तुम्हे अपनी पंडतानी बनाऊंगा। जय दादा परशुराम । जय राहुल गांधी जी की",1
"not toxic",187,"कोई है क्या अपना",0
"not toxic",188,"Hlo bolo",0
"not toxic",189,"hi",0
"toxic",190,"kaha chaligayi Ritu aap",1
"not toxic",191,"hjj",0
"not toxic",192,"kathua district",0
"toxic",193,"yaha pr msg dikh hi nhi rha itna jyada msg aa rha hai",1
"toxic",194,"hii reya",1
"not toxic",195,"riya hello",0
"not toxic",196,"Manshi district kon sa h",0
"not toxic",197,"gvb",0
"not toxic",198,"hhj",0
"not toxic",199,"gghi",0
"not toxic",200,"axa lucky",0
"not toxic",201,"MAI MST HUN AARU APP BTW",0
"not toxic",202,"hii up wali kaise ho",0
"not toxic",203,"b. tech",0
"not toxic",204,"hhh",0
"not toxic",205,"hhj",0
"not toxic",206,"payal ji muje kuch logo pr hasi ati h 🤣😂🤣😂🤣😂🤣",0
"toxic",207,"priya ... bangali log itna chalak kyu hoti hai",1
"toxic",208,"kash tere family wale dekh pate ye sab live tere payal Singh:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:",1
"toxic",209,"sweta ji ayodhya se hai",1
"not toxic",210,"koi foji h k🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️🇮🇳🇮🇳🇮🇳",0
"toxic",211,"shweta aaphi baat kar lo",1
"toxic",212,"ram ji ke nagar se jay shree ram",1
"not toxic",213,"hello everyone kaise ho",0
"toxic",214,"rakhi fougi chahiya",1
"toxic",215,"shweta aap insta chalti ho",1
"toxic",216,"fouji hi kyun chahiye rakhi ji apko",1
"not toxic",217,"kya hua roman ji kispar hsi aa rhi h",0
"toxic",218,"jo paiso k lalch m kisi ache insan ko chor kr chle jate hai 🤣😂🤣😂🤣😂🤣🤣",1
"not toxic",219,"मै फौजी का भाई हूँ राखी",0
"toxic",220,"jai shri ram sweta ji🙏🙏",1
"not toxic",221,"ha foji hi chiye🙋‍♀️🙋‍♀️",0
"not toxic",222,"h koi 🤣😂🤣🤣😂",0
"toxic",223,"roman aapne dekha ki nhi 🙋🙋",1
"toxic",224,"aap kha se hai sweta ji",1
"not toxic",225,"marcos h",0
"not toxic",226,"फौजी का भाई चलेगा",0
"toxic",227,"ha dekh liya",1
"not toxic",228,"Bihar",0
"not toxic",229,"rakhi commando ya army",0
"toxic",230,"right aman ji jaise me aman sharma ji",1
"toxic",231,"bihar me kha sweta",1
"not toxic",232,"achha ji",0
"not toxic",233,"ldki h payal ji 🤣😂🤣😂",0
"toxic",234,"nhi foji hi chiye kyuki meko sadi krni h 😁😁😁🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️",1
"not toxic",235,"ha",0
"toxic",236,"aur kya karti hai aap",1
"toxic",237,"right roman ji jaise me aman sharma ji",1
"not toxic",238,"gopal Ganj",0
"not toxic",239,"me supaul se hu",0
"not toxic",240,"rakhi 🤣🤣🤣🤣",0
"toxic",241,"ok thenk you roman ji bata diyega bol diyega aapki bahna yaad kar rahi please 😥😥😥",1
"not toxic",242,"मै करूँगा न सादी",0
"not toxic",243,"teri saadi nhi ho skti phir",0
"toxic",244,"agr pyar Krna h to insan s kro uski post or paise s nahi",1
"not toxic",245,"padhai",0
"toxic",246,"koi bi chlega koi bi post ho but foji ho😁😁🙋‍♀️🙋‍♀️🇮🇳🇮🇳🇮🇳",1
"not toxic",247,"ooo",0
"not toxic",248,"study mai kya sweta ji",0
"not toxic",249,"राखी",0
"toxic",250,"yaha sb dhongi h 🤣😂🤣😂🤣😂",1
"toxic",251,"rakhi tum singh ho",1
"not toxic",252,"bac",0
"not toxic",253,"athelete chalega rakhi",0
"toxic",254,"yes roman ji bilkul shi bola aapne",1
"toxic",255,"vrna government job vala yaha kya tinde lene ayega kya 🤣😂🤣😂😂🤣",1
"not toxic",256,"สวัสดีค่ะ คุณ M.😊😊",0
"not toxic",257,"อยากฟังความสองข้าง",0
"not toxic",258,"สวัสดีครับ 🎅🏽🙏🏽",0
"not toxic",259,"คนพวกนี้มีปม",0
"not toxic",260,"💕🙏😊🙏💕😊",0
"not toxic",261,"พี่หนุ่มๆคับ",0
"not toxic",262,"รอยที่คอน่ากลัวมาก",0
"not toxic",263,"โหด",0
"toxic",264,"เลี้ยงลูกยังไงให้เป็นปัญหาสังคม ครอบครัว Toxic นี่เอง🙄😒:_Hone::_Hone:",1
"not toxic",265,"แล้วทำไมมันยังมีชีวิตอยู่วะ?",0
"toxic",266,"13 มิถุนายน 2566 - 25 สิงหาคม 2566 3 เดือนแล้ว",1
"not toxic",267,"ไปหลอกเค้า",0
"not toxic",268,"รักมากเจ็บมาก รักได้ แต่ต้องรักให้เป็น",0
"not toxic",269,"พาดหัวแบบ",0
"not toxic",270,"พิมพ์ไรก็ดูเงินในบัญชีกันด้วยนะ555",0
"not toxic",271,"2หมื่นก่อนปาดคอแทงขั้วหัวใจ",0
"not toxic",272,"ได้เยแล้วคิดใจ พอเลิกทำใจไม่ได้",0
"not toxic",273,"คุ้มนะได้ตังค์ แะมได้คนตาย",0
"not toxic",274,"เลิกแล้ว ยังตามรำควาญ นี่ควีนี้เห็นคนอื่นเป็นของเล่น",0
"not toxic",275,"น่าจะเชิญ ฝ่ายชาย มานั่งคุยด้วย",0
"not toxic",276,"โทรหา แม่ กะ พี่ ผช เลย",0
"not toxic",277,"ไอ้พวกนี้น่ากลัว",0
"not toxic",278,"อยากมีแฟนไม่ผิดหรอก แต่ใครจะรู้จิตใจลึกๆของคน ทำร้ายกันถึงขั้นนี้ได้",0
"not toxic",279,"แต่ว่ามันแทงโหดไปไหม ดูแผลที่คอน้อง",0
"not toxic",280,"เรื่องวุ่นๆ ของวัยรุ่นคลั่งรัก",0
"not toxic",281,"เหตุผล",0
"not toxic",282,"ต้องมีคนโดนฟ้อง อีกแน่ๆ",0
"not toxic",283,"ฟังนะ เหตุผลอะไรก็แล้วแต่ที่เขาจะคบกันหรือเลิกกัน มันปกติ แต่การทำร้ายกันมันผิดจ้า",0
"not toxic",284,"สวัสดีคับพี่หนุ่ม",0
"not toxic",285,"😖🚴💨💨💨🦮โฮ่งๆๆ🐕‍🦺🐕",0
"not toxic",286,"พลอย เล่าตามจริง",0
"not toxic",287,"@อันนัท☃️ 💓",0
"not toxic",288,"คิดก่อนพิมละ",0
"not toxic",289,"ฟังแบบนี้น่าสงสาร",0
"not toxic",290,"เมื่อวานโคตรฮา",0
"not toxic",291,"โอสะเค",0
"not toxic",292,"หึงหน้ามืด หวงจนเขาไม่เหลืออิสระเลย#เกินพอดี",0
"not toxic",293,"ผู้ชาย โดนจับยัง",0
"not toxic",294,"แม่เลี้ยงมาไงให้เป็นภาระ",0
"not toxic",295,"ครูครับ ฟ้องคอมเม้นน่ารำคาญหน่อย 555",0
"not toxic",296,"เลิกกันแต่ไม่ตัดให้ขาด ก็ตามมาวุ่นวายแบบนี้ล่ะ",0
"not toxic",297,"ลูกฉัน คนดี น้องฉัน คนดี ขยัน",0
"not toxic",298,"ก็เลิกๆๆๆไปเลย ยังไปติดต่อกับแม่มันอีก",0
"not toxic",299,"🙏🙏🙏",0
"not toxic",300,"จัดการคับ พี่กัน พี่หุน่ม พี่ทนาย โหดเกินไปไม่ควรอยู่ในสังคม",0
"not toxic",301,"555🤣🤣🤣🤣🤣",0
"not toxic",302,"พี่ไอติม สวัสดีค่ะ 😊😊",0
"not toxic",303,"โซเดควั้ม",0
"not toxic",304,"คงหลอกเอาตังเขาเยอะแหละ",0
"not toxic",305,"ทำไมไม่โอนคืน????",0
"not toxic",306,"bhut",0
"toxic",307,"sasaram ki छोरी ho kya 😀",1
"not toxic",308,"up 54",0
"not toxic",309,"hii",0
"not toxic",310,"tanu",0
"not toxic",311,"super",0
"not toxic",312,"I love my india",0
"toxic",313,"पूजा तुम कहा से हो 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",1
"not toxic",314,"hii everyone",0
"not toxic",315,"hello",0
"toxic",316,"Varsha Rao my love😍",1
"not toxic",317,"hyy shivani",0
"not toxic",318,"hlo guys",0
"not toxic",319,"❤️❤️❤️❤️🌹🌹🌹🌹",0
"toxic",320,"Varsha Rao my love😍",1
"toxic",321,"Anshika ji aap kahan se Hain",1
"toxic",322,"hello alka",1
"not toxic",323,"🫡🫡🫡",0
"not toxic",324,"I love my India",0
"toxic",325,"yumiko ek chumma chumma de do 💋",1
"not toxic",326,"reshma hlo",0
"not toxic",327,"varsha hate kyo",0
"not toxic",328,"hello Priyanka",0
"not toxic",329,"jai hind",0
"toxic",330,"Varsha Rao my love😍",1
"not toxic",331,"up 60",0
"toxic",332,"koi hai kya setting karvane ke liye",1
"toxic",333,":face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:",1
"not toxic",334,"nice",0
"toxic",335,"gidi girls kaha se ho aap ❤️❤️❤️❤️❤️",1
"not toxic",336,"🤣",0
"not toxic",337,"hye",0
"not toxic",338,"reshma hlo",0
"not toxic",339,"hi everyone",0
"not toxic",340,"neha",0
"toxic",341,"Varsha Rao my love😍",1
"not toxic",342,"wow",0
"toxic",343,"bye everyone 👋👋 keep flirting to each other guys 🙏😂🤣",1
"not toxic",344,"faizan bhai ji kisse🖐🖐🖐",0
"not toxic",345,"kon si",0
"not toxic",346,"🤗❤️❤️❤️❤️❤️❤️❤️❤️❤️",0
"not toxic",347,"reshma hlo",0
"not toxic",348,"hlo jaan",0
"not toxic",349,"Singh hi",0
"toxic",350,"Varsha Rao my love😍",1
"toxic",351,"sasaram ki छोरी koi 😀",1
"toxic",352,"bye everyone 👋👋 keep flirting to each other guys 🙏😂🤣",1
"not toxic",353,"🌹🌹❤️❤️🇪🇺",0
"toxic",354,"kyu Mukesh ji 😂😂",1
"not toxic",355,"varsha",0
"toxic",356,"khushi suno",1
"not toxic",357,"Chandni Sharma hiii good morning",0
"toxic",358,"thakur sahab me only sister bolke bat krta hu",1
"toxic",359,"sabhi log ghar se hi bolta hai",1
"not toxic",360,"waah matlab id se only bacbass or carrier barbad 🤪",0
"not toxic",361,"❤️❤️❤️❤️❤️",0
"not toxic",362,"congratulations india",0
"not toxic",363,"#Chandni ☺️☺️",0
"toxic",364,"India aur India ke log sab mahan hai",1
"not toxic",365,"🆔 hoti kya h",0
"toxic",366,"tumhen Aaj pata chala",1
"not toxic",367,"bahut acchi",0
"toxic",368,"okk bro and thanku mujhe alert karne ke liye ki id se gher per riste aate h thanku mujhe btane ke liye",1
"toxic",369,"#Chandni haa bahut mahan log hai yeha🤣🤣",1
"not toxic",370,"koi sister rxa bandhn pr rakhi k wish kre to wc",0
"not toxic",371,"kya duu",0
"toxic",372,"bahut acche Chandni Sharma",1
"toxic",373,":glasses-purple-yellow-diamond:",1
"toxic",374,"बहुत बहुत बधाई भारत के वैज्ञानिकों को मेरा प्यार भरा कोटी कोटी प्रणाम करते हैं हे भगवान श्री रामचन्द्र जी भाई रही होगी हिंदुस्तान जिंदाबाद वंदे मातरम 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🙏💖💪💪💖👍👌",1
"toxic",375,"riste leke aaege sister or kyu lenge 🆔 😂🤣",1
"toxic",376,"chandani kya kar rahi ho",1
"not toxic",377,"byy everyone",0
"not toxic",378,"tum bhi India mein ho you",0
"not toxic",379,"bye #Khisi",0
"not toxic",380,"okkk",0
"not toxic",381,"type karo Chandni Sharma",0
"not toxic",382,"khusi*",0
"toxic",383,"yha to bacbass chal rhi h me to chali",1
"toxic",384,"ha India me hi aur ham v mahan hai Jo sabka comment padh rhe hai",1
"toxic",385,"thakur sister khushi to gai 🆔 nhi di kisi ko 🤣😂",1
"toxic",386,"abhishek-urf-babulal",1
"toxic",387,"sab pgl hai yha",1
"toxic",388,"ager thodi der yha or ruki to ho gya mera ibps ka exam clear",1
"not toxic",389,"thanks",0
"not toxic",390,"okk",0
"not toxic",391,"🇮🇳🇮🇳🇮🇳🫢🙏🙏🤟🤘😘",0
"not toxic",392,"bye guys",0
"toxic",393,"#Chandni. Haa msg padhne wala likhne wala sab mahaan hai🤣🤣🤣🤣",1
"toxic",394,"ok byyy everyone",1
"toxic",395,"Neha time se nikl ja",1
"not toxic",396,"hello",0
"not toxic",397,"byu",0
"not toxic",398,"good morning",0
"toxic",399,"ye kya kar rhe hai ham",1
"not toxic",400,"bye bye #Neha",0
"not toxic",401,"hii",0
"toxic",402,"news chhod ke ye sab dekh rhe hai",1
"not toxic",403,"hello 👋",0
"not toxic",404,"isro 🔥🔥🔥🔥🔥🔥",0
"not toxic",405,"hello chandani",0
"not toxic",406,"พอเถอะพี่หนุ่ม สงสารน้องครับ",0
"not toxic",407,"ตอนแรกอาจคบเพราะทำตัวดี พอสักพักสันดานมันออกไง",0
"not toxic",408,"แย่จริง",0
"not toxic",409,"สงสารน้อง",0
"not toxic",410,"พยายามฆ่า ไต่ตรอง ไว้ก่อน",0
"not toxic",411,":face-orange-raised-eyebrow:",0
"not toxic",412,"พี่หนุ่มค่ะ พอเถาะค่ะ ฟังแล้วน่ากลัว",0
"not toxic",413,"ไปชอบได้ไง สภาพผู้ชายแบบนี้เป็นผมนะผมยังไม่กล้าเข้าใกล้เลย",0
"not toxic",414,"อ",0
"not toxic",415,"แค่นี้ก็เห็นภาพแล้ว",0
"not toxic",416,"ซักใหญ่เลย ช่วยด้วย",0
"not toxic",417,"พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า โดยใตร่ตรองไว้ก่อน มีการวางแผน",0
"not toxic",418,"พี่หนุ่มมีลูกสาว เขาก็สะเทือนใจ",0
"not toxic",419,"เชี้ยยย",0
"not toxic",420,"เห้อออ",0
"not toxic",421,"ช๊อคมาก มันทำเกินไป จะเจ็บปวด ขนาดไหน",0
"not toxic",422,"พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า โดยใตร่ตรองไว้ก่อน มีการวางแผน",0
"not toxic",423,"โอ๊ย",0
"not toxic",424,"มันเหมือนยํ้าเหตุกาณณ์ไม่เอา",0
"not toxic",425,"ดี มันเป็น มีด พก นับมาโขกดี😇😇😇",0
"not toxic",426,"โอ้ยเลิกถาม",0
"not toxic",427,"โอย",0
"not toxic",428,"แจ็คขาเหนียว",0
"not toxic",429,"ญ โชคดี จริงๆ ครับ",0
"not toxic",430,"พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า พยายามฆ่า โดยใตร่ตรองไว้ก่อน มีการวางแผน",0
"not toxic",431,"โห",0
"not toxic",432,"อย่าถามเลยพอๆๆๆๆ",0
"not toxic",433,"แทงก็คือแทง",0
"not toxic",434,"เจตนาฆ่า",0
"not toxic",435,"ไม่เอาครับหยุดๆ",0
"not toxic",436,"มิดด้าม",0
"not toxic",437,"ดูหน้าคุณกัน",0
"not toxic",438,"โห",0
"not toxic",439,"รูปร่างน่ากลัว ทำตัวอุบา..",0
"not toxic",440,"😥😫",0
"not toxic",441,"อืมม..ฆ่าแต่ไม่ตาย..อึดมากหนู",0
"not toxic",442,"ถามไรวะ ถามย้ำๆอยู่ได้",0
"not toxic",443,"ฟังแล้วหดหู่",0
"not toxic",444,"😡😡😡",0
"not toxic",445,"เจตนาฆ่า โดยไตร่ตรอง โทษประหาร",0
"not toxic",446,"จะร้องไห้แทน สงสาร",0
"not toxic",447,"อย่าเล่าต่อเลยพอเถอะ",0
"not toxic",448,"ก่อนคบไม่อ้วนกรือเปล่า",0
"not toxic",449,"ถ้ายาวถึงหัวใจตายแน่ๆ",0
"not toxic",450,"วางแผนไว้ก่อนด้วย:face-orange-raised-eyebrow:",0
"not toxic",451,"แจ็คขาเบียด",0
"not toxic",452,"กันจอมพลังจัดไป",0
"not toxic",453,"น้าตาซึม เกินไปมาก",0
"not toxic",454,"ใครเกี่ยวดองกับบ้านผู้ชาย ระวังไว้",0
"not toxic",455,"ผู้หญิงขอกเลิกสมควรแล้ว",0
"not toxic",456,"abbu kya karte hai",0
"not toxic",457,"tum sabse bat karti ho kya",0
"not toxic",458,"I love india",0
"not toxic",459,"bolo yar",0
"not toxic",460,"companie me manager hei",0
"not toxic",461,"aap ke",0
"not toxic",462,"acha hai",0
"not toxic",463,"busy kha per ho",0
"not toxic",464,"hmm",0
"not toxic",465,"nhi na",0
"not toxic",466,"kahape",0
"not toxic",467,"you tube per",0
"not toxic",468,"are abhi 9.30 aaithi",0
"not toxic",469,"zee pe tume dekhi thi to us alain ne message kiya tha",0
"not toxic",470,"kya aati hai",0
"not toxic",471,"acha",0
"not toxic",472,"hallo",0
"not toxic",473,"tum kya sochti ho mere liye",0
"not toxic",474,"bolo",0
"not toxic",475,"me bhai bolke bat ki",0
"not toxic",476,"best dost",0
"not toxic",477,"me ja rha hu",0
"not toxic",478,"ok",0
"not toxic",479,"or kisi ko dost bana lena",0
"not toxic",480,"bolo fiza",0
"not toxic",481,"bahut hai yaha per log",0
"not toxic",482,"hallo",0
"not toxic",483,"thik hei bye",0
"not toxic",484,"ok bye",0
"not toxic",485,"ab nhi aaunga me",0
"not toxic",486,"sab dhokewaj hai",0
"not toxic",487,"kya huaa",0
"not toxic",488,"Abe Jaa na",0
"not toxic",489,"rahul",0
"not toxic",490,"halloooo",0
"not toxic",491,"1",0
"not toxic",492,"hi",0
"not toxic",493,"chandran successful",0
"not toxic",494,"rahul",0
"not toxic",495,"❤️🇮🇳❤️",0
"not toxic",496,"Gambhir yadav 🌔🌙🌦️☁️",0
"not toxic",497,"madhar",0
"not toxic",498,"ISRO",0
"not toxic",499,"India is great country:washhands:❤️😇",0
"not toxic",500,"ISRO",0
"not toxic",501,"wow",0
"not toxic",502,"yahi bolte h ki sabhi sahi hoke bhi sahi nahi hote",0
"not toxic",503,"हेलो",0
"not toxic",504,"केसे हो आप लोग",0
"not toxic",505,"🙏🕉🙏🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳💪💪💪💪",0
"not toxic",506,"โรงเรียนบ้านธาตุ ""ธาตุศึกษาวิทยา""สพป.สร.เขต2 กำลังรับชมค่ะ",0
"not toxic",507,"สมใจ ทองดี โรงเรียนชุมชนบ้านสำโรง สพป.ยส.1",0
"not toxic",508,"โรงเรียนวัดหนองโรง กำลังรับชมค่ะ",0
"not toxic",509,"ครูและสภานักเรียนโรงเรียนบ้านดงใหญ่ สพป.มค.๒ กำลังรับชมค่ะ",0
"not toxic",510,"โรงเรียนวัดปากคลองฯ กำลังรับชมค่ะ",0
